INFO  - 2014-09-16 00:29:06.732; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2014-09-16 00:29:06.762; org.apache.solr.core.SolrResourceLoader; Using JNDI solr.home: C:/project/solr_home
INFO  - 2014-09-16 00:29:06.766; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'C:/project/solr_home\'
INFO  - 2014-09-16 00:29:07.001; org.apache.solr.core.ConfigSolr; Loading container configuration from C:\project\solr_home\solr.xml
INFO  - 2014-09-16 00:29:07.142; org.apache.solr.core.ConfigSolrXml; Config-defined core root directory: 
INFO  - 2014-09-16 00:29:07.159; org.apache.solr.core.CoreContainer; New CoreContainer 1012687675
INFO  - 2014-09-16 00:29:07.160; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=C:/project/solr_home\]
INFO  - 2014-09-16 00:29:07.185; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2014-09-16 00:29:07.185; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: http://
INFO  - 2014-09-16 00:29:07.186; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2014-09-16 00:29:07.186; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2014-09-16 00:29:07.187; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2014-09-16 00:29:07.187; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2014-09-16 00:29:07.187; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2014-09-16 00:29:07.188; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2014-09-16 00:29:07.189; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2014-09-16 00:29:07.201; org.apache.solr.client.solrj.impl.HttpClientUtil; Creating new http client, config:maxConnectionsPerHost=20&maxConnections=10000&socketTimeout=0&connTimeout=0&retry=false
INFO  - 2014-09-16 00:29:07.402; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2014-09-16 00:29:07.406; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2014-09-16 00:29:11.999; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath C:\project\solr_home
INFO  - 2014-09-16 00:29:12.035; org.apache.solr.core.CorePropertiesLocator; Found core collection1 in C:\project\solr_home\collection1\
INFO  - 2014-09-16 00:29:12.035; org.apache.solr.core.CorePropertiesLocator; Found 1 core definitions
INFO  - 2014-09-16 00:29:12.038; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using instanceDir: C:\project\solr_home\collection1
INFO  - 2014-09-16 00:29:12.039; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'C:\project\solr_home\collection1\'
INFO  - 2014-09-16 00:29:12.132; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
INFO  - 2014-09-16 00:29:12.136; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/project/solr-4.5.1/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
INFO  - 2014-09-16 00:29:12.136; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/project/solr-4.5.1/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
INFO  - 2014-09-16 00:29:12.137; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/project/solr-4.5.1/contrib/extraction/lib/bcmail-jdk15-1.45.jar' to classloader
INFO  - 2014-09-16 00:29:12.137; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/project/solr-4.5.1/contrib/extraction/lib/bcprov-jdk15-1.45.jar' to classloader
INFO  - 2014-09-16 00:29:12.138; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/project/solr-4.5.1/contrib/extraction/lib/boilerpipe-1.1.0.jar' to classloader
INFO  - 2014-09-16 00:29:12.139; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/project/solr-4.5.1/contrib/extraction/lib/commons-compress-1.4.1.jar' to classloader
