INFO  - 2014-09-27 21:27:52.893; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2014-09-27 21:27:52.922; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor C:\project\solr-4.5.1\example\contexts at interval 0
INFO  - 2014-09-27 21:27:52.931; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: C:\project\solr-4.5.1\example\contexts\solr-jetty-context.xml
INFO  - 2014-09-27 21:27:52.996; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/C:/project/solr-4.5.1/example/webapps/solr.war!/ to C:\project\solr-4.5.1\example\solr-webapp\webapp
INFO  - 2014-09-27 21:27:55.800; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2014-09-27 21:27:55.854; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2014-09-27 21:27:55.881; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2014-09-27 21:27:55.882; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2014-09-27 21:27:55.883; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2014-09-27 21:27:56.029; org.apache.solr.core.ConfigSolr; Loading container configuration from C:\project\solr-4.5.1\example\solr\solr.xml
INFO  - 2014-09-27 21:27:56.189; org.apache.solr.core.ConfigSolrXml; Config-defined core root directory: 
INFO  - 2014-09-27 21:27:56.200; org.apache.solr.core.CoreContainer; New CoreContainer 1057793548
INFO  - 2014-09-27 21:27:56.200; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2014-09-27 21:27:56.224; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2014-09-27 21:27:56.224; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: http://
INFO  - 2014-09-27 21:27:56.224; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2014-09-27 21:27:56.226; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2014-09-27 21:27:56.226; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2014-09-27 21:27:56.227; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2014-09-27 21:27:56.227; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2014-09-27 21:27:56.227; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
